Date,District,Cases
5/25/2020,Netrokona,0
5/25/2020,Nilphamari,8
5/25/2020,Noakhali,39
5/25/2020,Pabna,0
5/25/2020,Panchagarh,0
5/25/2020,Patuakhali,0
5/25/2020,Pirojpur,0
5/25/2020,Rajbari,1
5/25/2020,Rajshahi,1
5/25/2020,Rangamati,1
5/25/2020,Rangpur,6
5/25/2020,Satkhira,1
5/25/2020,Shariatpur,0
5/25/2020,Sherpur,0
5/25/2020,Sirajganj,1
5/25/2020,Sunamganj,13
5/25/2020,Sylhet,0
5/25/2020,Tangail,0
5/25/2020,Thakurgaon,2
5/24/2020,Bagerhat,4
5/24/2020,Bandarban,2
5/24/2020,Barguna,0
5/24/2020,Barishal,0
5/24/2020,Bhola,0
5/24/2020,Bogura,0
5/24/2020,Brahmmanbaria,0
5/24/2020,Chandpur,1
5/24/2020,Chapai Nawabganj,0
5/24/2020,Chattogram,82
5/24/2020,Chuadanga,0
5/24/2020,Cox s Bazar,48
5/24/2020,Cumilla,34
5/24/2020,Dhaka,320
5/24/2020,Dinajpur,0
5/24/2020,Faridpur,0
5/24/2020,Feni,0
5/24/2020,Gaibandha,0
5/24/2020,Gazipur,20
5/24/2020,Gopalganj,0
5/24/2020,Habiganj,0
5/24/2020,Jamalpur,0
5/24/2020,Jashore,1
5/24/2020,Jhalakhati,0
5/24/2020,Jhenaidah,0
5/24/2020,Joypurhat,0
5/24/2020,Khagrachhari,0
5/24/2020,Khulna,5
5/24/2020,Kishoreganj,0
5/24/2020,Kurigram,0
5/24/2020,Kushtia,0
5/24/2020,Lakshmipur,0
5/24/2020,Lalmonirhat,0
5/24/2020,Madaripur,6
5/24/2020,Magura,0
5/24/2020,Manikganj,17
5/24/2020,Meherpur,0
5/24/2020,Moulvibazar,0
5/24/2020,Munshiganj,20
5/24/2020,Mymensing,0
5/24/2020,Naogaon,1
5/24/2020,Narail,0
5/24/2020,Narayanganj,31
5/24/2020,Narsingdi,0
5/24/2020,Natore,0
5/24/2020,Netrokona,0
5/24/2020,Nilphamari,1
5/24/2020,Noakhali,0
5/24/2020,Pabna,1
5/24/2020,Panchagarh,0
5/24/2020,Patuakhali,0
5/24/2020,Pirojpur,0
5/24/2020,Rajbari,0
5/24/2020,Rajshahi,5
5/24/2020,Rangamati,2
5/24/2020,Rangpur,6
5/24/2020,Satkhira,0
5/24/2020,Shariatpur,0
5/24/2020,Sherpur,0
5/24/2020,Sirajganj,0
5/24/2020,Sunamganj,0
5/24/2020,Sylhet,18
5/24/2020,Tangail,0
5/24/2020,Thakurgaon,0
5/23/2020,Bagerhat,0
5/23/2020,Bandarban,0
5/23/2020,Barguna,0
5/23/2020,Barishal,4
5/23/2020,Bhola,0
5/23/2020,Bogura,59
5/23/2020,Brahmmanbaria,10
5/23/2020,Chandpur,0
5/23/2020,Chapai Nawabganj,0
5/23/2020,Chattogram,151
5/23/2020,Chuadanga,0
5/23/2020,Cox s Bazar,33
5/23/2020,Cumilla,51
5/23/2020,Dhaka,575
5/23/2020,Dinajpur,1
5/23/2020,Faridpur,1
5/23/2020,Feni,0
5/23/2020,Gaibandha,4
5/23/2020,Gazipur,10
5/23/2020,Gopalganj,1
5/23/2020,Habiganj,3
5/23/2020,Jamalpur,8
5/23/2020,Jashore,0
5/23/2020,Jhalakhati,0
5/23/2020,Jhenaidah,1
5/23/2020,Joypurhat,10
5/23/2020,Khagrachhari,2
5/23/2020,Khulna,4
5/23/2020,Kishoreganj,0
5/23/2020,Kurigram,2
5/23/2020,Kushtia,3
5/23/2020,Lakshmipur,0
5/23/2020,Lalmonirhat,1
5/23/2020,Madaripur,24
5/23/2020,Magura,0
